id,a,b,winner,date,multi_game
678ac3082876fbe30360b7ed,['suchix'],['filip_pro'],a,2025-01-17 21:51:00,False
678ac0852876fbe30360b7ec,['filip_pro'],['suchix'],a,2025-01-17 21:41:00,False
678abdda2876fbe30360b7eb,['suchix'],['filip_pro'],a,2025-01-17 21:29:00,False
678ab9c12876fbe30360b7ea,['suchix'],['filip_pro'],a,2025-01-17 21:12:00,False
678ab67b2876fbe30360b7e9,['suchix'],['filip_pro'],a,2025-01-17 20:58:00,False
678ab48c2876fbe30360b7e8,['filip_pro'],['suchix'],a,2025-01-17 20:50:00,False
678ab2292876fbe30360b7e7,['filip_pro'],['suchix'],a,2025-01-17 20:40:00,False
678ab05d2876fbe30360b7e6,['filip_pro'],['suchix'],b,2025-01-17 20:32:00,False
678aae652876fbe30360b7e5,['suchix'],['filip_pro'],b,2025-01-17 20:23:00,False
678aac452876fbe30360b7e4,['suchix'],['filip_pro'],a,2025-01-17 20:15:00,False
678aab6e2876fbe30360b7e3,['filip_pro'],['suchix'],a,2025-01-17 20:11:00,False
678aa8db2876fbe30360b7e2,['filip_pro'],['suchix'],a,2025-01-17 20:00:00,False
678aa6912876fbe30360b7e1,['suchix'],['filip_pro'],a,2025-01-17 19:50:00,False
678aa55a2876fbe30360b7e0,['suchix'],['filip_pro'],a,2025-01-17 19:45:00,False
678921788388146adc4e4206,['suchix'],['remzak'],a,2025-01-16 16:10:00,False
67891f118388146adc4e4205,['remzak'],['suchix'],b,2025-01-16 16:00:00,False
6787c08f49b554bfff0902e9,['suchix'],['filip_pro'],b,2025-01-15 15:04:00,False
6787bea849b554bfff0902e8,"['filip_pro', 'topol']","['remzak', 'suchix']",a,2025-01-15 14:56:00,True
6787bbd949b554bfff0902e7,"['filip_pro', 'remzak']","['suchix', 'topol']",b,2025-01-15 14:44:00,True
6787b9dc49b554bfff0902e6,"['filip_pro', 'suchix']","['remzak', 'topol']",b,2025-01-15 14:36:00,True
6787b7c349b554bfff0902e5,['remzak'],['topol'],a,2025-01-15 14:27:00,False
6787b56949b554bfff0902e4,['topol'],['filip_pro'],a,2025-01-15 14:17:00,False
6787b49349b554bfff0902e3,['suchix'],['filip_pro'],b,2025-01-15 14:13:00,False
6787b3eb49b554bfff0902e2,['filip_pro'],['suchix'],a,2025-01-15 14:10:00,False
6787b1c849b554bfff0902e1,['suchix'],['filip_pro'],a,2025-01-15 14:01:00,False
